"ID","gender","chatbot_gender","uti_attitude","uti_buy","uti_mc","hedo_attitude","hedo_buy","hedo_mc","chatbot_gender_mc","chatbot_open","age"
"1","male","opposite",5,3,3,3,2.667,1,5.25,"The bot isn't 'intelligent' I asked it two different questions and it provided the same answer. It is also a little pushy ",38
"2","male","opposite",2,2,4,2,2,4,6.5,"I don’t have a problem with it, but want the AI agent to provide options and compare those options for me.  This agent only had information on one product in each category (scented candle and ergonomic mouse)",61
"3","male","opposite",2,1,4,4,4,6,4,"The recommendations were all right but not that interesting. I also don’t like that it won’t link to the product or show a picture",37
"4","male","same",6,5,5,6,5.667,6,4.5,"I feel that the chatbot's recommendation was helpful and informative, but I would need more information or comparison with other products before making a final decision.



",21
"5","male","same",4,1.333,5,6,5.667,2,2.25,"They were good.They give a good rundown of the products and there features.",25
"6","male","same",7,6.333,1,6,6.667,7,3,"i loved the recommendation by the chatbot and would gladly purchase the products because i was satisfied with the response",38
"7","male","same",4,3.667,6,4,4,6,4,"Too friendly and it's a bit annoying ",36
"8","male","opposite",4,4.333,4,5,3.333,7,5.5,"I think it was friendly and knowledgeable",52
"9","male","same",4,4.667,4,4,4.667,4,3.5,"Recommendation seems thorough",55
"10","male","opposite",6,5.333,2,6,5.333,4,4.5,"I feel the chatbot was very quick with responses so it was helpful but it only offered one option for each request and no link to the option so I feel disappointed.",64
"11","male","same",6,5.333,3,7,6.333,4,3,"I feel relaxed and calm due to how the chatbot helped me find what I was looking for.",20
"12","male","opposite",5,4,4,4,4.667,4,4,"It does not consider other factors as taste.",45
"13","male","opposite",7,7,4,7,7,4,4,"Very helpful and understanding ",32
"14","male","same",6,4.667,5,5,5.333,4,1.25,"the chatbot does not recognize my profile id as it responds ""It seems like you've entered a string of characters again. If this is related to an inquiry or specific request, could you please provide more details or context? I'm here to assist you with any questions or issues you might have."" however products i enquired were fairly described in brief explanations.",51
"15","male","opposite",7,6.667,7,7,6.333,6,7,"She attended to my query politely and reasonably, which I highly recommend.",25
"16","male","opposite",3,1.333,2,6,6,3,5.5,"Overall friendly and I appreciated the fact that even though it couldn't offer a direct product I wanted, it gave an alternative with my preferences in mind. However, links to the products in the responses would have been much more beneficial. ",42
"17","male","opposite",4,4.333,4,7,5.667,4,5.25,"It explained everything pretty well. It forgot to mention how many buttons the mouse had the weight of the candle but other than that it was very helpful",20
"18","male","same",5,5,3,4,3,5,2.75,"It seemed to cover the basic questions I had without issue. No strong feelings about it, really.",32
"19","male","same",7,7,4,6,6,4,2.25,"The recommendations were easy to understand and well explained. Hence, made it easier to come into a decision on buying the products.",39
"20","male","same",4,3,4,5,2.333,5,4,"agent had no info about shipping costs. the website owners are idiots.",61
"21","male","opposite",6,3,2,6,3,5,6,"It was fast and easy. Great way to get results quickly ",29
"22","male","same",3,1,2,5,1.667,4,4,"Impersonal, grating, disingenuous, odious.",54
"23","male","same",7,6.667,2,7,6.667,6,4,"They were more detailed than I expected and they actually seemed to work quite well for me",56
"24","male","same",4,2,4,2,1,1,3.75,"It didn't have much information on the products.  The chatbot was very one dimensional and uninformative.",51
"25","male","opposite",4,3,1,5,3,4,5.5,"There weren't any other options so it's hard to say. Did its job well enough and answered my questions.",39
"26","male","opposite",5,4.667,2,4,4,2,7,"It is just a basic chatbot and no different than others",49
"27","male","same",5,4.667,2,4,1.667,7,3.5,"Not much, it feels like it probably pulled two recommendations it was told to. As in, it felt like an ad.",32
"28","male","same",7,7,4,7,7,5,7,"Talking to the chat bot made me feel more confident my my research for a mouse and a scented candle. It makes it easier to look and choose a product.",38
"29","male","opposite",7,6.333,3,7,6.333,2,4.5,"I'm not a fan of the inevitable ai but I really enjoyed your chatbot. I appreciated it's input.",61
"30","male","opposite",5,5,5,4,2.333,7,4,"It wasn't terrible, but it just wasn't natural at all. Too wordy. Not enjoyable.",32
"31","male","same",4,3.333,2,4,3.333,4,2.5,"I don’t have any strong feelings about the recommendations; they seem to be the only two products this particular online store sells",40
"32","male","opposite",4,1,4,2,1,4,4,"That chat bot was just fine.",26
"33","male","opposite",5,5.333,1,6,6,6,6.25,"It seemed helpful ",38
"34","male","same",4,2.333,4,4,4,4,4,"Too robotic. Not human enough.",42
"35","male","opposite",4,4,4,5,5,6,4.5,"It was generic without specific information",52
"36","male","same",6,5.667,1,6,5.667,2,3.75,"It did okay. Couldn't answer specific questions like how long the battery will last on the mouse. Will the candle wick last as long as the candle wax.",39
"37","male","same",5,2,2,7,6.333,6,2.75,"I felt the recommendation was well written, but too wordy.",38
"38","male","opposite",5,5,4,5,5,4,6,"I feel like I'm being guided by a professional. Giving me the right products for specifications needed.",69
"39","male","opposite",6,4.667,4,6,4.667,5,6,"I think the chatbot's recommendations are useful to help costumers looking for something specific with additional details about the search",20
"40","male","opposite",5,5,5,5,5,5,4.75,"it listed important points, but there was no comparison to other devices",50
"41","male","same",4,5,2,4,3.667,5,4.25,"they were good very detailed recommendations.",32
"42","male","opposite",7,6.667,4,5,4.333,3,6,"The recommendations were decent. I thought they presented a better option with the mouse than they did with the candle. ",41
"43","male","same",6,6,2,6,7,6,4.75,"very helpful and objective providing recommendations.",68
"44","male","same",6,4.667,6,4,4.667,3,2.25,"I liked the layout of the responses, they were also very informative and helpful.",22
"45","male","same",5,4.667,3,6,6,3,4,"They put over the scented candle tremendously, even more so than the Mouse. The recommendation was professional, yet engaging and convincing for both products.  ",45
"46","male","opposite",5,3.667,4,5,3.667,4,4.5,"They did not tell me prices and only offered a single suggestion which was most likely what they wanted to sell not what was necessarily best for me - didn’t trust it or the website which did not even have a search function I could find which is how I would actually like to look for products ",66
"47","male","opposite",5,5.667,3,5,4.667,1,5.25,"It was to the point and polite.",28
"48","male","opposite",7,4.333,1,7,6,4,6.75,"They were fantastic and prompt!",44
"49","male","same",6,6,2,3,3.667,4,2,"I feel that the chatbot provided very helpful descriptions of the products, it felt really pleasant.",33
"50","male","opposite",4,2,4,4,2,4,5.5,"The chatbot recommendation was simple and expected without errors.",34
"51","male","same",5,4,3,5,5,5,3,"I tend not to trust those things so it probably isnt bad, but it may not be the best for me.",44
"52","male","opposite",6,6.333,6,4,6.667,5,5.25,"This time I asked more complex questions and the bot was sincere and made good recommendations  based on my inquiries so excellent.",41
"53","male","opposite",5,4.667,3,4,3.667,3,4,"The chat it recommendations were ok. I was not really prepared to buy anything at this time so much of it was unappealing.",38
"54","male","same",5,4.667,5,6,5.667,5,4.25,"Useful sales suggestions existed in the chatbot agent yet its overall content lacked individualized customization. The offers consisted of an ergonomic mouse paired with a scented candle although they neglected to demonstrate how the system would adjust to specific preferences or needs. The prompt responses from the bot did not request additional information to enhance its product recommendations. The proposed product suggestions remained basic because they did not consider essential criteria such as price information and user evaluations along with brand choices. The functioning recommendation system provided limited personalization features to users because of its insufficient focus on personalized suggestions for product purchases.",74
"55","male","same",7,7,1,7,7,1,1,"Very helpful and nice.",20
"56","male","opposite",5,3.333,4,5,3.333,5,2.75,"Very vague and robotic. Not very conversational enough.",49
"57","male","opposite",2,1.333,4,2,1.333,4,4.75,"both are ugly",58
"58","male","same",7,5.667,7,6,5.333,5,5.25,"The sales agent responded to my querry accurately and provided the needed infor",23
"59","male","same",5,5.667,5,5,5.333,5,4.75,"I think overall it tries to give an unbiased recommendation",29
"60","male","opposite",5,5.667,2,6,6,6,7,"it is polite and has good customer service.",24
"61","male","same",5,4,4,5,2.667,6,2.5,"It was informative to a point but had No real data like costs, what batteries the mouse took or the weight of the candle even discounts if i bought them together . The bot was terse and anwsered quickly there was no real conversation to put me at ease on my purchases. ",48
