"ID","gender","chatbot_gender","masc_attitude","masc_buy","masc_mc","fem_attitude","fem_buy","fem_mc","chatbot_gender_mc","chatbot_open","age"
"1","male","opposite",7,6.667,4,7,6.667,6,3.5,"i feel that the chatbot sales agent was well understood and for the recommendation i will definetely purchase the products",38
"2","male","same",7,6,1,7,7,1,5.75,"it gives good recommendation on what to buy",48
"3","male","opposite",5,4,5,5,5.667,5,5.5,"The recommendation was helpful and matched my needs.
",21
"4","male","same",7,7,4,7,7,4,3.5,"Very helpful and understanding ",32
"5","male","opposite",5,5.333,4,6,5.333,4,4,"Should consider also giving price estimates and stores recommendations.",45
"6","male","opposite",5,5,4,5,4.667,5,4,"I think it recommended products that I would like to at least check out and possibly purchase ",33
"7","male","opposite",6,4,6,7,4,4,6,"Good overall recommendations, however I would have liked direct links to the products as well as being able to give more detailed information - such as how long it takes to charge the battery for the cordless drill.",42
"8","male","same",5,4.333,5,5,5,5,4,"The chatbot's recommendation were pretty good and my queries were answered accordingly.",26
"9","male","same",5,5.333,5,4,5,4,5.25,"The chatbot sales agent's recommendation was clear, insightful, and well-structured. It provided relevant information, addressed key concerns, and offered a practical solution. Overall, it was helpful and aligned with my needs.







",35
"10","male","same",4,4.333,4,4,4,4,3.75,"Seems thorough and informative ",55
"11","male","opposite",6,6,6,6,6,4,6.25,"The chatbot agent is easy to interact with.",39
"12","male","same",5,5.333,1,4,6,1,1,"the chatbot could not identify my prolific id. the details provided on my inquiry were too brief while as i wanted more deep explanations.",51
"13","male","same",6,5.333,1,4,6.667,2,1,"The recommended item descriptions and explanations were moderately okay, although it could have been more detailed for clarity.",25
"14","male","opposite",6,6,2,6,5,5,4.75,"I was actually pretty impressed - kind interaction + good feedback and suggestions. It was actually pretty natural and helpful. ",43
"15","male","opposite",4,3.333,4,4,4,4,5.5,"I feel as if the recommendations are reasonable, though I would need to do more research.",54
"16","male","opposite",6,6,2,5,5.333,3,6.5,"I feel happy after interacting with the chatbot as it gave me recommendations in a quick and timely manner.",20
"17","male","same",6,5.333,4,6,6,5,4,"I think it was efficient and informative ",36
"18","male","same",6,6.333,2,6,6.333,6,3.25,"They seemed thorough and very informational. They were helpful.",28
"19","male","same",6,4.333,4,6,3.667,6,2.75,"I feel it's pretty neutral. It recommended the products to me but I don't feel very passionate about it. I would look into the recommendations to see if the products are what I'm looking for.",20
"20","male","opposite",5,5.333,5,4,4.667,4,5.25,"I feel some answers were a tad long.",41
"21","male","opposite",6,5.333,2,5,3.667,7,5,"It was very well informed about the information for both products. I liked how it gave bullet point lists of info.",22
"22","male","same",3,2.333,1,2,1,7,5,"The chatbot is just fine. It resembles other chatbots from other sales sites. ",32
"23","male","same",2,2,2,1,1,6,4,"The bot was able to recommend two items that I was looking for. When it wasn't able to answer my question due to data, it was able to point me in a direction.",25
"24","male","same",4,5,5,4,3.667,5,3.75,"Inthink it was a lengthy AI explaination that could use some slimming down.",22
"25","male","opposite",4,4.667,4,3,4,4,3.25,"Not bad for a chatbot",41
"26","male","same",7,6,4,6,5,4,3.75,"Very straightforward and basic but not sure about more complex requests. Overall good average leading",41
"27","male","same",6,5.667,3,6,6,5,4.25,"It was very helpful and clearly tailored to what I needed",23
"28","male","opposite",6,5.333,4,5,6,4,5.5,"I think the information provided by the chatbot is very good. She was precise in her description of the two products, which helped me make the decision that they are good products and would help me complete the task.",69
"29","male","same",5,4.667,3,5,4,5,3.5,"The recommendations were detailed; I felt positive about them",52
"30","male","opposite",7,5.667,2,5,5.667,5,2.5,"I feel it is a good way to shoo and get insight to the produces they sale",35
"31","male","same",6,5.667,4,6,5.667,4,3,"The chatbot seemed fine. It provided information as requested. ",60
"32","male","opposite",4,3.333,3,5,4.333,3,6.25,"I don’t have any strong feelings about the recommendations",40
